asset_id,lat,lon,sector,asset_type,co2e_2024
117086,27.275270,85.989927,agriculture,nan,479082.696
117089,27.134548,87.294104,agriculture,nan,452685.268
422935,27.749867,83.436974,agriculture,nan,448719.393
117090,27.749867,83.436974,agriculture,nan,440283.332
117093,27.349630,84.885630,agriculture,nan,437282.071
422938,27.349630,84.885630,agriculture,nan,384123.207
422931,27.275270,85.989927,agriculture,nan,383070.106
117098,27.185469,86.657218,agriculture,nan,365491.653
422943,27.185469,86.657218,agriculture,nan,364297.766
422934,27.134548,87.294104,agriculture,nan,342463.380
117092,27.171363,87.851629,agriculture,nan,310450.455
117077,27.882730,85.412806,agriculture,nan,282349.410
117097,28.316895,82.522798,agriculture,nan,269653.047
422924,28.571601,81.737803,agriculture,nan,267199.357
422937,27.171363,87.851629,agriculture,nan,230489.907
117083,28.316357,84.351249,agriculture,nan,228419.436
422944,29.269450,81.143435,agriculture,nan,202571.729
117091,29.426720,80.572116,agriculture,nan,177985.704
117079,28.571601,81.737803,agriculture,nan,175564.725
117099,29.269450,81.143435,agriculture,nan,153900.917
422942,28.316895,82.522798,agriculture,nan,124372.741
422936,29.426720,80.572116,agriculture,nan,119898.682
365940,27.749867,83.436974,agriculture,nan,104756.379
62012,27.134548,87.294104,agriculture,nan,101314.395
365943,27.349630,84.885630,agriculture,nan,92722.812
365936,27.275270,85.989927,agriculture,nan,91468.923
62013,27.749867,83.436974,agriculture,nan,88246.704
62009,27.275270,85.989927,agriculture,nan,88153.065
365939,27.134548,87.294104,agriculture,nan,87755.850
62016,27.349630,84.885630,agriculture,nan,86416.512
117082,28.670866,83.602613,agriculture,nan,81309.957
62021,27.185469,86.657218,agriculture,nan,78468.663
365948,27.185469,86.657218,agriculture,nan,70589.883
62020,28.316895,82.522798,agriculture,nan,68383.770
479809,27.134548,87.294104,agriculture,nan,68241.264
62015,27.171363,87.851629,agriculture,nan,67201.953
422928,28.316357,84.351249,agriculture,nan,66416.870
479810,27.749867,83.436974,agriculture,nan,65930.319
422922,27.882730,85.412806,agriculture,nan,65451.325
479806,27.275270,85.989927,agriculture,nan,64251.096
479813,27.349630,84.885630,agriculture,nan,63382.410
62022,29.269450,81.143435,agriculture,nan,63301.056
62002,28.571601,81.737803,agriculture,nan,60655.686
365949,29.269450,81.143435,agriculture,nan,52887.471
62000,27.882730,85.412806,agriculture,nan,52811.850
365929,28.571601,81.737803,agriculture,nan,48858.537
365947,28.316895,82.522798,agriculture,nan,48791.652
479818,27.185469,86.657218,agriculture,nan,48474.153
479812,27.171363,87.851629,agriculture,nan,46531.758
479817,28.316895,82.522798,agriculture,nan,46480.707
365942,27.171363,87.851629,agriculture,nan,45383.793
479799,28.571601,81.737803,agriculture,nan,41940.990
365927,27.882730,85.412806,agriculture,nan,41075.034
479819,29.269450,81.143435,agriculture,nan,40940.718
62014,29.426720,80.572116,agriculture,nan,40008.423
62006,28.316357,84.351249,agriculture,nan,39645.333
365933,28.316357,84.351249,agriculture,nan,38692.563
479797,27.882730,85.412806,agriculture,nan,33559.344
479811,29.426720,80.572116,agriculture,nan,32836.440
479803,28.316357,84.351249,agriculture,nan,28318.563
365941,29.426720,80.572116,agriculture,nan,22198.722
117087,29.495452,82.420284,agriculture,nan,21335.648
422927,28.670866,83.602613,agriculture,nan,15695.400
365932,28.670866,83.602613,agriculture,nan,14724.255
62005,28.670866,83.602613,agriculture,nan,14527.695
62010,29.495452,82.420284,agriculture,nan,14121.744
479802,28.670866,83.602613,agriculture,nan,8855.574
365937,29.495452,82.420284,agriculture,nan,7991.802
479807,29.495452,82.420284,agriculture,nan,6576.297
422932,29.495452,82.420284,agriculture,nan,6482.344
168821,27.882730,85.412806,agriculture,nan,0.000
168822,28.571601,81.737803,agriculture,nan,0.000
168823,28.670866,83.602613,agriculture,nan,0.000
168824,28.316357,84.351249,agriculture,nan,0.000
168825,27.275270,85.989927,agriculture,nan,0.000
168826,29.495452,82.420284,agriculture,nan,0.000
168827,27.134548,87.294104,agriculture,nan,0.000
168828,27.749867,83.436974,agriculture,nan,0.000
168829,29.426720,80.572116,agriculture,nan,0.000
168830,27.171363,87.851629,agriculture,nan,0.000
168831,27.349630,84.885630,agriculture,nan,0.000
168832,28.316895,82.522798,agriculture,nan,0.000
168833,27.185469,86.657218,agriculture,nan,0.000
168834,29.269450,81.143435,agriculture,nan,0.000
310946,27.882730,85.412806,agriculture,nan,0.000
310947,28.571601,81.737803,agriculture,nan,0.000
310948,28.670866,83.602613,agriculture,nan,0.000
310949,28.316357,84.351249,agriculture,nan,0.000
310950,27.275270,85.989927,agriculture,nan,0.000
310951,29.495452,82.420284,agriculture,nan,0.000
310952,27.134548,87.294104,agriculture,nan,0.000
310953,27.749867,83.436974,agriculture,nan,0.000
310954,29.426720,80.572116,agriculture,nan,0.000
310955,27.171363,87.851629,agriculture,nan,0.000
310956,27.349630,84.885630,agriculture,nan,0.000
310957,28.316895,82.522798,agriculture,nan,0.000
310958,27.185469,86.657218,agriculture,nan,0.000
310959,29.269450,81.143435,agriculture,nan,0.000
685163,27.882730,85.412806,buildings,nan,1172036.029
685179,27.349630,84.885630,buildings,nan,861262.538
685175,27.134548,87.294104,buildings,nan,777294.952
685176,27.749867,83.436974,buildings,nan,721941.093
685172,27.275270,85.989927,buildings,nan,696217.412
685185,29.269450,81.143435,buildings,nan,566361.254
685177,29.426720,80.572116,buildings,nan,453413.962
685184,27.185469,86.657218,buildings,nan,451765.521
685165,28.571601,81.737803,buildings,nan,396713.148
685183,28.316895,82.522798,buildings,nan,387409.705
685178,27.171363,87.851629,buildings,nan,376245.257
685169,28.316357,84.351249,buildings,nan,305257.219
685168,28.670866,83.602613,buildings,nan,78069.830
685173,29.495452,82.420284,buildings,nan,61004.714
628157,27.134548,87.294104,buildings,nan,24150.404
628145,27.882730,85.412806,buildings,nan,23119.508
628161,27.349630,84.885630,buildings,nan,21381.311
628158,27.749867,83.436974,buildings,nan,6664.676
628154,27.275270,85.989927,buildings,nan,4621.914
628160,27.171363,87.851629,buildings,nan,3843.806
628159,29.426720,80.572116,buildings,nan,1698.337
628166,27.185469,86.657218,buildings,nan,1474.788
628147,28.571601,81.737803,buildings,nan,961.800
628151,28.316357,84.351249,buildings,nan,835.028
628165,28.316895,82.522798,buildings,nan,789.040
628167,29.269450,81.143435,buildings,nan,708.156
628155,29.495452,82.420284,buildings,nan,277.589
628150,28.670866,83.602613,buildings,nan,38.955
25263,27.670378,83.838253,manufacturing,integrated dry,922187.182
25258,27.912026,83.404246,manufacturing,integrated dry,594189.106
25271,27.854487,82.491672,manufacturing,integrated dry,520509.657
25273,26.842398,86.236822,manufacturing,integrated dry,506051.055
25255,27.533795,83.410272,manufacturing,integrated dry,464238.447
25272,27.615493,83.687594,manufacturing,integrated dry,443757.472
25274,28.090068,82.378958,manufacturing,integrated dry,424204.648
25270,27.374066,85.035352,manufacturing,integrated dry,399057.402
25264,27.727653,84.813403,manufacturing,integrated dry,396126.069
25261,27.996117,82.508831,manufacturing,integrated dry,382163.775
25268,27.624275,83.590269,manufacturing,integrated dry,318089.234
25267,26.810863,86.279817,manufacturing,integrated dry,224260.414
25276,27.727314,85.174640,manufacturing,integrated dry,173503.219
25275,26.790040,86.631303,manufacturing,integrated dry,108299.229
25256,27.616942,82.858158,manufacturing,integrated dry,101210.211
25269,27.506884,83.345785,manufacturing,integrated dry,72293.008
25262,27.409663,85.013602,manufacturing,integrated dry,66314.466
25254,26.566461,87.289795,manufacturing,integrated dry,64835.412
25260,26.869176,85.946913,manufacturing,integrated dry,57834.406
25257,27.680100,84.291817,manufacturing,integrated dry,54903.072
25277,27.576106,82.862661,manufacturing,integrated dry,43375.806
25265,27.724192,85.144244,manufacturing,integrated dry,21390.808
25266,27.028636,84.931862,manufacturing,integrated dry,13134.707
25259,27.568177,83.717341,manufacturing,integrated dry,10805.903
879536,27.717245,85.323961,manufacturing,Finished Goods,5.928
839131,27.882730,85.412806,transportation,nan,703142.131
802671,27.696600,85.359100,transportation,international,539461.719
839144,27.749867,83.436974,transportation,nan,478707.121
839147,27.349630,84.885630,transportation,nan,396532.874
839143,27.134548,87.294104,transportation,nan,352629.527
839140,27.275270,85.989927,transportation,nan,305997.487
839137,28.316357,84.351249,transportation,nan,245933.629
839152,27.185469,86.657218,transportation,nan,243047.930
839133,28.571601,81.737803,transportation,nan,239574.923
839146,27.171363,87.851629,transportation,nan,222493.638
839153,29.269450,81.143435,transportation,nan,157829.138
839151,28.316895,82.522798,transportation,nan,148689.666
839145,29.426720,80.572116,transportation,nan,134150.791
790248,27.696600,85.359100,transportation,domestic,69440.105
839136,28.670866,83.602613,transportation,nan,53709.043
839141,29.495452,82.420284,transportation,nan,13642.025
790239,28.200621,83.981203,transportation,domestic,13430.080
790236,28.103600,81.667000,transportation,domestic,12159.351
790228,26.481501,87.264000,transportation,domestic,11544.676
790231,27.505328,83.412594,transportation,domestic,10107.628
790229,28.755283,80.583398,transportation,domestic,7072.058
790225,26.570801,88.079598,transportation,domestic,5390.625
790232,26.708799,85.922401,transportation,domestic,2851.267
790226,27.678101,84.429398,transportation,domestic,2815.395
790244,27.159803,84.980021,transportation,domestic,2678.298
802667,27.505328,83.412594,transportation,international,2600.512
790246,28.586000,81.636002,transportation,domestic,1565.482
790240,26.510066,86.733902,transportation,domestic,520.187
790250,27.315001,87.193298,transportation,domestic,514.839
790235,27.686768,86.729479,transportation,domestic,126.698
790241,27.393999,86.061401,transportation,domestic,91.498
790233,28.780426,83.723000,transportation,domestic,53.674
790249,28.111099,82.294197,transportation,domestic,46.115
790247,27.350900,87.695250,transportation,domestic,36.547
790245,29.971100,81.818901,transportation,domestic,36.192
790227,27.147400,87.050797,transportation,domestic,34.653
790237,27.517752,86.585019,transportation,domestic,28.568
790234,29.274200,82.193298,transportation,domestic,22.717
802668,28.188333,84.014167,transportation,international,21.406
790230,28.985659,82.818703,transportation,domestic,15.022
790224,29.502001,81.668999,transportation,domestic,14.645
790243,27.303499,86.550400,transportation,domestic,0.000
790238,28.188333,84.014167,transportation,domestic,0.000
790242,28.627001,82.194021,transportation,domestic,0.000
802669,28.200621,83.981203,transportation,international,0.000
802670,27.159803,84.980021,transportation,international,0.000
1333716,27.776204,85.229678,waste,Dumpsite,447469.647
712162,27.776903,85.244876,waste,Unknown,77116.032
712164,28.164095,84.010304,waste,Unknown,61770.216
757399,27.711000,85.355000,waste,centralized WWTP with primary treatment,48272.049
757397,27.674000,85.337000,waste,centralized WWTP with primary treatment,34268.352
1333719,27.776903,85.244876,waste,Dumpsite,21153.332
1333718,28.164095,84.010304,waste,Dumpsite,17124.945
712161,27.776204,85.229678,waste,Unknown,10138.296
712163,27.203145,85.902723,waste,Unknown,9261.420
757394,26.450000,87.369000,waste,centralized WWTP with primary treatment,8934.839
757400,28.207000,83.991000,waste,centralized WWTP with primary treatment,6076.151
757396,27.614000,85.532000,waste,centralized WWTP with primary treatment,3395.431
757398,27.678000,84.210000,waste,centralized WWTP with primary treatment,3179.808
1333717,27.203145,85.902723,waste,Dumpsite,3042.284
757401,28.239000,83.983000,waste,centralized WWTP with primary treatment,2526.646
757395,27.215000,85.910000,waste,centralized WWTP with primary treatment,573.294
