asset_id,lat,lon,sector,asset_type
168827,27.134548,87.294104,agriculture,nan
479809,27.134548,87.294104,agriculture,nan
422934,27.134548,87.294104,agriculture,nan
310952,27.134548,87.294104,agriculture,nan
62012,27.134548,87.294104,agriculture,nan
365939,27.134548,87.294104,agriculture,nan
117089,27.134548,87.294104,agriculture,nan
117092,27.171363,87.851629,agriculture,nan
365942,27.171363,87.851629,agriculture,nan
479812,27.171363,87.851629,agriculture,nan
422937,27.171363,87.851629,agriculture,nan
168830,27.171363,87.851629,agriculture,nan
310955,27.171363,87.851629,agriculture,nan
62015,27.171363,87.851629,agriculture,nan
365948,27.185469,86.657218,agriculture,nan
479818,27.185469,86.657218,agriculture,nan
168833,27.185469,86.657218,agriculture,nan
310958,27.185469,86.657218,agriculture,nan
422943,27.185469,86.657218,agriculture,nan
117098,27.185469,86.657218,agriculture,nan
62021,27.185469,86.657218,agriculture,nan
479806,27.275270,85.989927,agriculture,nan
310950,27.275270,85.989927,agriculture,nan
422931,27.275270,85.989927,agriculture,nan
62009,27.275270,85.989927,agriculture,nan
365936,27.275270,85.989927,agriculture,nan
117086,27.275270,85.989927,agriculture,nan
168825,27.275270,85.989927,agriculture,nan
422938,27.349630,84.885630,agriculture,nan
479813,27.349630,84.885630,agriculture,nan
62016,27.349630,84.885630,agriculture,nan
365943,27.349630,84.885630,agriculture,nan
310956,27.349630,84.885630,agriculture,nan
168831,27.349630,84.885630,agriculture,nan
117093,27.349630,84.885630,agriculture,nan
422935,27.749867,83.436974,agriculture,nan
117090,27.749867,83.436974,agriculture,nan
168828,27.749867,83.436974,agriculture,nan
62013,27.749867,83.436974,agriculture,nan
365940,27.749867,83.436974,agriculture,nan
479810,27.749867,83.436974,agriculture,nan
310953,27.749867,83.436974,agriculture,nan
117077,27.882730,85.412806,agriculture,nan
422922,27.882730,85.412806,agriculture,nan
310946,27.882730,85.412806,agriculture,nan
479797,27.882730,85.412806,agriculture,nan
168821,27.882730,85.412806,agriculture,nan
365927,27.882730,85.412806,agriculture,nan
62000,27.882730,85.412806,agriculture,nan
310949,28.316357,84.351249,agriculture,nan
479803,28.316357,84.351249,agriculture,nan
422928,28.316357,84.351249,agriculture,nan
62006,28.316357,84.351249,agriculture,nan
117083,28.316357,84.351249,agriculture,nan
365933,28.316357,84.351249,agriculture,nan
168824,28.316357,84.351249,agriculture,nan
